iter	Passed	Remaining
0	0	97
1	1	89
2	2	82
3	3	76
4	4	76
5	4	73
6	5	73
7	6	72
8	7	71
9	7	70
10	8	68
11	9	67
12	10	67
13	10	67
14	11	66
15	12	66
16	13	65
17	13	63
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	19	60
24	19	59
25	20	58
26	21	57
27	22	57
28	22	56
29	23	55
30	24	54
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	34	43
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
